CVE_ID,CWE_ID
CVE-2000-0380,CWE-20
CVE-2000-0400,CWE-20
CVE-2000-0476,CWE-150
CVE-2000-0497,CWE-178
CVE-2000-0498,CWE-178
CVE-2000-0499,CWE-178
CVE-2000-0506,CWE-267
CVE-2000-0506,CWE-269
CVE-2000-0517,CWE-356
CVE-2000-0521,CWE-234
CVE-2000-0536,CWE-394
CVE-2000-0542,CWE-223
CVE-2000-0546,CWE-120
CVE-2000-0547,CWE-120
CVE-2000-0548,CWE-120
CVE-2000-0552,CWE-459
CVE-2000-0588,CWE-200
CVE-2000-0589,CWE-310
CVE-2000-0614,CWE-36
CVE-2000-0614,CWE-37
CVE-2000-0649,CWE-200
CVE-2000-0655,CWE-130
CVE-2000-0671,CWE-158
CVE-2000-0671,CWE-177
CVE-2000-0703,CWE-138
CVE-2000-0703,CWE-150
CVE-2000-0715,CWE-59
CVE-2000-0758,CWE-472
CVE-2000-0773,CWE-23
CVE-2000-0773,CWE-33
CVE-2000-0844,CWE-264
CVE-2000-0854,CWE-427
CVE-2000-0860,CWE-473
CVE-2000-0864,CWE-362
CVE-2000-0876,CWE-200
CVE-2000-0884,CWE-176
CVE-2000-0900,CWE-177
CVE-2000-0926,CWE-472
CVE-2000-0927,CWE-69
CVE-2000-0944,CWE-620
CVE-2000-0944,CWE-522
CVE-2000-0959,CWE-454
CVE-2000-0972,CWE-59
CVE-2000-0972,CWE-61
CVE-2000-0979,CWE-305
CVE-2000-0979,CWE-187
CVE-2000-1003,CWE-232
CVE-2000-1006,CWE-230
CVE-2000-1050,CWE-41
CVE-2000-1050,CWE-50
CVE-2000-1052,CWE-430
CVE-2000-1094,CWE-120
CVE-2000-1114,CWE-41
CVE-2000-1114,CWE-42
CVE-2000-1117,CWE-208
CVE-2000-1117,CWE-200
CVE-2000-1117,CWE-203
CVE-2000-1128,CWE-428
CVE-2000-1133,CWE-41
CVE-2000-1133,CWE-42
CVE-2000-1139,CWE-798
CVE-2000-1142,CWE-207
CVE-2000-1165,CWE-157
CVE-2000-1178,CWE-59
CVE-2000-1178,CWE-61
CVE-2000-1179,CWE-288
CVE-2000-1191,CWE-209
CVE-2000-1198,CWE-412
CVE-2000-1198,CWE-667
CVE-2000-1205,CWE-79
CVE-2000-1212,CWE-267
CVE-2000-1213,CWE-271
CVE-2000-1216,CWE-120
CVE-2000-1218,CWE-346
CVE-2000-1218,CWE-940
CVE-2000-1221,CWE-350
CVE-2000-1234,CWE-472
CVE-2000-1245,CWE-264
CVE-2000-1246,CWE-119
CVE-2000-1247,CWE-16
CVE-2000-1254,CWE-310
CVE-2001-0003,CWE-115
CVE-2001-0004,CWE-430
CVE-2001-0006,CWE-732
CVE-2001-0033,CWE-454
CVE-2001-0038,CWE-36
CVE-2001-0038,CWE-39
CVE-2001-0041,CWE-399
CVE-2001-0054,CWE-22
CVE-2001-0054,CWE-41
CVE-2001-0054,CWE-46
CVE-2001-0081,CWE-449
CVE-2001-0084,CWE-454
CVE-2001-0088,CWE-305
CVE-2001-0103,CWE-310
CVE-2001-0128,CWE-269
CVE-2001-0131,CWE-59
CVE-2001-0136,CWE-399
CVE-2001-0136,CWE-401
CVE-2001-0150,CWE-88
CVE-2001-0153,CWE-119
CVE-2001-0160,CWE-1204
CVE-2001-0161,CWE-1204
CVE-2001-0178,CWE-283
CVE-2001-0191,CWE-120
CVE-2001-0191,CWE-130
CVE-2001-0195,CWE-281
CVE-2001-0248,CWE-131
CVE-2001-0249,CWE-131
CVE-2001-0255,CWE-36
CVE-2001-0255,CWE-39
CVE-2001-0289,CWE-427
CVE-2001-0307,CWE-94
CVE-2001-0308,CWE-94
CVE-2001-0330,CWE-433
CVE-2001-0333,CWE-174
CVE-2001-0334,CWE-131
CVE-2001-0334,CWE-155
CVE-2001-0340,CWE-434
CVE-2001-0361,CWE-310
CVE-2001-0395,CWE-307
CVE-2001-0398,CWE-451
CVE-2001-0427,CWE-20
CVE-2001-0446,CWE-41
CVE-2001-0446,CWE-49
CVE-2001-0467,CWE-23
CVE-2001-0467,CWE-32
CVE-2001-0480,CWE-23
CVE-2001-0480,CWE-32
CVE-2001-0491,CWE-23
CVE-2001-0491,CWE-33
CVE-2001-0492,CWE-67
CVE-2001-0493,CWE-67
CVE-2001-0497,CWE-276
CVE-2001-0507,CWE-427
CVE-2001-0509,CWE-20
CVE-2001-0520,CWE-83
CVE-2001-0527,CWE-143
CVE-2001-0537,CWE-287
CVE-2001-0543,CWE-401
CVE-2001-0554,CWE-120
CVE-2001-0558,CWE-67
CVE-2001-0559,CWE-271
CVE-2001-0566,CWE-20
CVE-2001-0576,CWE-119
CVE-2001-0590,CWE-234
CVE-2001-0609,CWE-193
CVE-2001-0615,CWE-23
CVE-2001-0615,CWE-32
CVE-2001-0615,CWE-33
CVE-2001-0629,CWE-119
CVE-2001-0643,CWE-451
CVE-2001-0650,CWE-236
CVE-2001-0666,CWE-400
CVE-2001-0667,CWE-88
CVE-2001-0669,CWE-176
CVE-2001-0677,CWE-138
CVE-2001-0682,CWE-412
CVE-2001-0682,CWE-667
CVE-2001-0687,CWE-36
CVE-2001-0687,CWE-39
CVE-2001-0687,CWE-40
CVE-2001-0693,CWE-41
CVE-2001-0693,CWE-46
CVE-2001-0693,CWE-177
CVE-2001-0709,CWE-176
CVE-2001-0717,CWE-134
CVE-2001-0738,CWE-158
CVE-2001-0748,CWE-20
CVE-2001-0766,CWE-178
CVE-2001-0771,CWE-264
CVE-2001-0775,CWE-119
CVE-2001-0778,CWE-41
CVE-2001-0778,CWE-46
CVE-2001-0778,CWE-177
CVE-2001-0780,CWE-22
CVE-2001-0781,CWE-284
CVE-2001-0787,CWE-271
CVE-2001-0795,CWE-41
CVE-2001-0795,CWE-178
CVE-2001-0795,CWE-58
CVE-2001-0803,CWE-119
CVE-2001-0819,CWE-119
CVE-2001-0825,CWE-130
CVE-2001-0830,CWE-772
CVE-2001-0830,CWE-404
CVE-2001-0854,CWE-473
CVE-2001-0860,CWE-348
CVE-2001-0863,CWE-447
CVE-2001-0865,CWE-447
CVE-2001-0872,CWE-454
CVE-2001-0892,CWE-668
CVE-2001-0892,CWE-41
CVE-2001-0892,CWE-49
CVE-2001-0893,CWE-668
CVE-2001-0893,CWE-41
CVE-2001-0893,CWE-49
CVE-2001-0901,CWE-434
CVE-2001-0905,CWE-364
CVE-2001-0908,CWE-348
CVE-2001-0910,CWE-394
CVE-2001-0912,CWE-427
CVE-2001-0925,CWE-22
CVE-2001-0933,CWE-36
CVE-2001-0933,CWE-39
CVE-2001-0942,CWE-427
CVE-2001-0943,CWE-427
CVE-2001-0950,CWE-331
CVE-2001-0963,CWE-23
CVE-2001-0963,CWE-32
CVE-2001-0967,CWE-916
CVE-2001-0967,CWE-760
CVE-2001-0984,CWE-316
CVE-2001-0996,CWE-147
CVE-2001-1009,CWE-264
CVE-2001-1009,CWE-129
CVE-2001-1009,CWE-1285
CVE-2001-1025,CWE-473
CVE-2001-1029,CWE-271
CVE-2001-1042,CWE-59
CVE-2001-1042,CWE-64
CVE-2001-1043,CWE-59
CVE-2001-1043,CWE-64
CVE-2001-1072,CWE-41
CVE-2001-1072,CWE-50
CVE-2001-1072,CWE-185
CVE-2001-1099,CWE-434
CVE-2001-1125,CWE-494
CVE-2001-1131,CWE-23
CVE-2001-1131,CWE-32
CVE-2001-1140,CWE-158
CVE-2001-1140,CWE-177
CVE-2001-1141,CWE-341
CVE-2001-1152,CWE-41
CVE-2001-1152,CWE-57
CVE-2001-1155,CWE-783
CVE-2001-1155,CWE-285
CVE-2001-1155,CWE-350
CVE-2001-1155,CWE-862
CVE-2001-1155,CWE-863
CVE-2001-1157,CWE-167
CVE-2001-1157,CWE-182
CVE-2001-1157,CWE-85
CVE-2001-1166,CWE-267
CVE-2001-1186,CWE-130
CVE-2001-1193,CWE-23
CVE-2001-1193,CWE-32
CVE-2001-1205,CWE-22
CVE-2001-1238,CWE-178
CVE-2001-1238,CWE-1289
CVE-2001-1246,CWE-78
CVE-2001-1246,CWE-88
CVE-2001-1247,CWE-264
CVE-2001-1248,CWE-41
CVE-2001-1248,CWE-46
CVE-2001-1269,CWE-36
CVE-2001-1269,CWE-37
CVE-2001-1291,CWE-307
CVE-2001-1323,CWE-120
CVE-2001-1339,CWE-307
CVE-2001-1340,CWE-410
CVE-2001-1349,CWE-364
CVE-2001-1349,CWE-663
CVE-2001-1349,CWE-828
CVE-2001-1371,CWE-264
CVE-2001-1378,CWE-59
CVE-2001-1386,CWE-41
CVE-2001-1386,CWE-59
CVE-2001-1386,CWE-42
CVE-2001-1386,CWE-64
CVE-2001-1387,CWE-200
CVE-2001-1387,CWE-204
CVE-2001-1387,CWE-449
CVE-2001-1387,CWE-203
CVE-2001-1388,CWE-770
CVE-2001-1389,CWE-170
CVE-2001-1391,CWE-193
CVE-2001-1410,CWE-451
CVE-2001-1432,CWE-22
CVE-2001-1444,CWE-757
CVE-2001-1452,CWE-346
CVE-2001-1452,CWE-940
CVE-2001-1456,CWE-119
CVE-2001-1463,CWE-310
CVE-2001-1471,CWE-94
CVE-2001-1471,CWE-95
CVE-2001-1471,CWE-665
CVE-2001-1473,CWE-310
CVE-2001-1480,CWE-267
CVE-2001-1481,CWE-312
CVE-2001-1481,CWE-313
CVE-2001-1483,CWE-204
CVE-2001-1483,CWE-200
CVE-2001-1483,CWE-203
CVE-2001-1484,CWE-441
CVE-2001-1488,CWE-350
CVE-2001-1494,CWE-59
CVE-2001-1494,CWE-62
CVE-2001-1496,CWE-193
CVE-2001-1497,CWE-206
CVE-2001-1500,CWE-350
CVE-2001-1501,CWE-407
CVE-2001-1509,CWE-393
CVE-2001-1514,CWE-269
CVE-2001-1515,CWE-281
CVE-2001-1517,CWE-316
CVE-2001-1527,CWE-318
CVE-2001-1528,CWE-204
CVE-2001-1528,CWE-200
CVE-2001-1528,CWE-203
CVE-2001-1534,CWE-384
CVE-2001-1536,CWE-312
CVE-2001-1536,CWE-315
CVE-2001-1537,CWE-312
CVE-2001-1537,CWE-315
CVE-2001-1539,CWE-119
CVE-2001-1546,CWE-326
CVE-2001-1550,CWE-276
CVE-2001-1551,CWE-267
CVE-2001-1555,CWE-269
CVE-2001-1556,CWE-532
CVE-2001-1556,CWE-150
CVE-2001-1559,CWE-393
CVE-2001-1564,CWE-274
CVE-2001-1565,CWE-214
CVE-2001-1567,CWE-41
CVE-2001-1567,CWE-48
CVE-2001-1582,CWE-119
CVE-2001-1584,CWE-20
CVE-2001-1585,CWE-287
CVE-2001-1585,CWE-325
CVE-2001-1586,CWE-22
CVE-2001-1587,CWE-119
CVE-2001-1593,CWE-59
CVE-2001-1594,CWE-255
CVE-2002-0001,CWE-147
CVE-2002-0001,CWE-151
CVE-2002-0012,CWE-264
CVE-2002-0013,CWE-264
CVE-2002-0018,CWE-349
CVE-2002-0025,CWE-430
CVE-2002-0049,CWE-269
CVE-2002-0051,CWE-412
CVE-2002-0051,CWE-667
CVE-2002-0053,CWE-119
CVE-2002-0054,CWE-294
CVE-2002-0055,CWE-669
CVE-2002-0059,CWE-415
CVE-2002-0061,CWE-78
CVE-2002-0066,CWE-288
CVE-2002-0066,CWE-420
CVE-2002-0070,CWE-119
CVE-2002-0080,CWE-269
CVE-2002-0080,CWE-842
CVE-2002-0080,CWE-271
CVE-2002-0083,CWE-189
CVE-2002-0083,CWE-193
CVE-2002-0106,CWE-67
CVE-2002-0107,CWE-234
CVE-2002-0108,CWE-472
CVE-2002-0112,CWE-41
CVE-2002-0112,CWE-55
CVE-2002-0117,CWE-84
CVE-2002-0118,CWE-84
CVE-2002-0146,CWE-20
CVE-2002-0159,CWE-134
CVE-2002-0160,CWE-23
CVE-2002-0160,CWE-31
CVE-2002-0184,CWE-787
CVE-2002-0184,CWE-131
CVE-2002-0197,CWE-451
CVE-2002-0200,CWE-67
CVE-2002-0208,CWE-205
CVE-2002-0208,CWE-203
CVE-2002-0208,CWE-207
CVE-2002-0253,CWE-41
CVE-2002-0253,CWE-49
CVE-2002-0265,CWE-279
CVE-2002-0267,CWE-144
CVE-2002-0270,CWE-79
CVE-2002-0275,CWE-41
CVE-2002-0275,CWE-50
CVE-2002-0288,CWE-23
CVE-2002-0288,CWE-32
CVE-2002-0298,CWE-23
CVE-2002-0298,CWE-27
CVE-2002-0304,CWE-41
CVE-2002-0304,CWE-55
CVE-2002-0325,CWE-182
CVE-2002-0367,CWE-302
CVE-2002-0368,CWE-400
CVE-2002-0389,CWE-341
CVE-2002-0391,CWE-190
CVE-2002-0401,CWE-476
CVE-2002-0406,CWE-410
CVE-2002-0419,CWE-200
CVE-2002-0422,CWE-200
CVE-2002-0422,CWE-230
CVE-2002-0433,CWE-41
CVE-2002-0433,CWE-179
CVE-2002-0433,CWE-56
CVE-2002-0433,CWE-155
CVE-2002-0433,CWE-180
CVE-2002-0466,CWE-36
CVE-2002-0466,CWE-39
CVE-2002-0485,CWE-178
CVE-2002-0485,CWE-436
CVE-2002-0493,CWE-254
CVE-2002-0495,CWE-94
CVE-2002-0495,CWE-96
CVE-2002-0499,CWE-392
CVE-2002-0507,CWE-287
CVE-2002-0514,CWE-204
CVE-2002-0514,CWE-203
CVE-2002-0515,CWE-204
CVE-2002-0515,CWE-200
CVE-2002-0515,CWE-203
CVE-2002-0542,CWE-150
CVE-2002-0563,CWE-287
CVE-2002-0567,CWE-420
CVE-2002-0573,CWE-134
CVE-2002-0574,CWE-911
CVE-2002-0574,CWE-401
CVE-2002-0583,CWE-334
CVE-2002-0596,CWE-200
CVE-2002-0596,CWE-234
CVE-2002-0614,CWE-433
CVE-2002-0628,CWE-307
CVE-2002-0637,CWE-156
CVE-2002-0637,CWE-436
CVE-2002-0638,CWE-403
CVE-2002-0639,CWE-190
CVE-2002-0649,CWE-119
CVE-2002-0653,CWE-193
CVE-2002-0661,CWE-23
CVE-2002-0661,CWE-184
CVE-2002-0661,CWE-28
CVE-2002-0671,CWE-494
CVE-2002-0698,CWE-120
CVE-2002-0704,CWE-212
CVE-2002-0722,CWE-451
CVE-2002-0725,CWE-59
CVE-2002-0725,CWE-224
CVE-2002-0725,CWE-65
CVE-2002-0729,CWE-166
CVE-2002-0738,CWE-87
CVE-2002-0760,CWE-689
CVE-2002-0764,CWE-473
CVE-2002-0770,CWE-152
CVE-2002-0770,CWE-153
CVE-2002-0770,CWE-154
CVE-2002-0784,CWE-182
CVE-2002-0788,CWE-459
CVE-2002-0793,CWE-59
CVE-2002-0793,CWE-62
CVE-2002-0802,CWE-179
CVE-2002-0802,CWE-180
CVE-2002-0804,CWE-350
CVE-2002-0812,CWE-200
CVE-2002-0813,CWE-119
CVE-2002-0824,CWE-59
CVE-2002-0840,CWE-81
CVE-2002-0844,CWE-193
CVE-2002-0862,CWE-295
CVE-2002-0862,CWE-296
CVE-2002-0862,CWE-358
CVE-2002-0870,CWE-288
CVE-2002-0903,CWE-334
CVE-2002-0918,CWE-215
CVE-2002-0934,CWE-179
CVE-2002-0934,CWE-181
CVE-2002-0938,CWE-80
CVE-2002-0943,CWE-219
CVE-2002-0946,CWE-23
CVE-2002-0946,CWE-28
CVE-2002-0969,CWE-732
CVE-2002-0970,CWE-296
CVE-2002-0970,CWE-358
CVE-2002-0971,CWE-422
CVE-2002-0980,CWE-344
CVE-2002-0985,CWE-88
CVE-2002-0986,CWE-150
CVE-2002-0999,CWE-89
CVE-2002-1010,CWE-155
CVE-2002-1018,CWE-837
CVE-2002-1023,CWE-234
CVE-2002-1024,CWE-399
CVE-2002-1025,CWE-158
CVE-2002-1025,CWE-177
CVE-2002-1031,CWE-158
CVE-2002-1031,CWE-177
CVE-2002-1042,CWE-23
CVE-2002-1042,CWE-28
CVE-2002-1052,CWE-67
CVE-2002-1053,CWE-81
CVE-2002-1077,CWE-234
CVE-2002-1078,CWE-41
CVE-2002-1078,CWE-52
CVE-2002-1111,CWE-264
CVE-2002-1145,CWE-267
CVE-2002-1154,CWE-267
CVE-2002-1154,CWE-779
CVE-2002-1169,CWE-234
CVE-2002-1174,CWE-119
CVE-2002-1175,CWE-20
CVE-2002-1178,CWE-23
CVE-2002-1178,CWE-28
CVE-2002-1200,CWE-119
CVE-2002-1203,CWE-399
CVE-2002-1203,CWE-407
CVE-2002-1209,CWE-23
CVE-2002-1209,CWE-28
CVE-2002-1213,CWE-177
CVE-2002-1222,CWE-119
CVE-2002-1230,CWE-422
CVE-2002-1235,CWE-130
CVE-2002-1236,CWE-234
CVE-2002-1238,CWE-41
CVE-2002-1238,CWE-50
CVE-2002-1291,CWE-177
CVE-2002-1337,CWE-120
CVE-2002-1345,CWE-36
CVE-2002-1345,CWE-37
CVE-2002-1347,CWE-131
CVE-2002-1357,CWE-119
CVE-2002-1357,CWE-130
CVE-2002-1358,CWE-20
CVE-2002-1358,CWE-234
CVE-2002-1359,CWE-20
CVE-2002-1360,CWE-20
CVE-2002-1362,CWE-166
CVE-2002-1365,CWE-119
CVE-2002-1372,CWE-772
CVE-2002-1372,CWE-404
CVE-2002-1374,CWE-305
CVE-2002-1374,CWE-187
CVE-2002-1401,CWE-119
CVE-2002-1407,CWE-358
CVE-2002-1432,CWE-200
CVE-2002-1446,CWE-392
CVE-2002-1449,CWE-219
CVE-2002-1451,CWE-41
CVE-2002-1451,CWE-46
CVE-2002-1460,CWE-616
CVE-2002-1463,CWE-342
CVE-2002-1483,CWE-36
CVE-2002-1483,CWE-41
CVE-2002-1483,CWE-39
CVE-2002-1483,CWE-50
CVE-2002-1483,CWE-51
CVE-2002-1484,CWE-441
CVE-2002-1484,CWE-918
CVE-2002-1488,CWE-234
CVE-2002-1488,CWE-236
CVE-2002-1493,CWE-83
CVE-2002-1495,CWE-80
CVE-2002-1495,CWE-83
CVE-2002-1525,CWE-36
CVE-2002-1525,CWE-38
CVE-2002-1527,CWE-185
CVE-2002-1531,CWE-234
CVE-2002-1532,CWE-166
CVE-2002-1532,CWE-239
CVE-2002-1563,CWE-828
CVE-2002-1575,CWE-177
CVE-2002-1576,CWE-427
CVE-2002-1578,CWE-420
CVE-2002-1590,CWE-264
CVE-2002-1603,CWE-41
CVE-2002-1603,CWE-46
CVE-2002-1646,CWE-757
CVE-2002-1649,CWE-82
CVE-2002-1651,CWE-79
CVE-2002-1657,CWE-916
CVE-2002-1657,CWE-760
CVE-2002-1660,CWE-78
CVE-2002-1663,CWE-20
CVE-2002-1671,CWE-267
CVE-2002-1671,CWE-269
CVE-2002-1681,CWE-83
CVE-2002-1682,CWE-326
CVE-2002-1688,CWE-270
CVE-2002-1694,CWE-279
CVE-2002-1696,CWE-312
CVE-2002-1696,CWE-313
CVE-2002-1697,CWE-326
CVE-2002-1700,CWE-79
CVE-2002-1700,CWE-81
CVE-2002-1704,CWE-829
CVE-2002-1704,CWE-98
CVE-2002-1706,CWE-347
CVE-2002-1707,CWE-829
CVE-2002-1707,CWE-98
CVE-2002-1710,CWE-616
CVE-2002-1711,CWE-276
CVE-2002-1713,CWE-276
CVE-2002-1717,CWE-200
CVE-2002-1718,CWE-200
CVE-2002-1721,CWE-193
CVE-2002-1725,CWE-213
CVE-2002-1725,CWE-200
CVE-2002-1730,CWE-302
CVE-2002-1734,CWE-302
CVE-2002-1739,CWE-326
CVE-2002-1742,CWE-430
CVE-2002-1745,CWE-193
CVE-2002-1750,CWE-94
CVE-2002-1750,CWE-95
CVE-2002-1752,CWE-94
CVE-2002-1752,CWE-95
CVE-2002-1753,CWE-94
CVE-2002-1753,CWE-95
CVE-2002-1757,CWE-471
CVE-2002-1759,CWE-616
CVE-2002-1770,CWE-270
CVE-2002-1771,CWE-93
CVE-2002-1772,CWE-268
CVE-2002-1774,CWE-158
CVE-2002-1777,CWE-436
CVE-2002-1783,CWE-93
CVE-2002-1786,CWE-277
CVE-2002-1788,CWE-134
CVE-2002-1796,CWE-347
CVE-2002-1798,CWE-264
CVE-2002-1798,CWE-425
CVE-2002-1800,CWE-312
CVE-2002-1800,CWE-315
CVE-2002-1803,CWE-82
CVE-2002-1804,CWE-82
CVE-2002-1805,CWE-82
CVE-2002-1806,CWE-82
CVE-2002-1807,CWE-82
CVE-2002-1808,CWE-82
CVE-2002-1810,CWE-306
CVE-2002-1816,CWE-193
CVE-2002-1818,CWE-36
CVE-2002-1818,CWE-37
CVE-2002-1820,CWE-178
CVE-2002-1825,CWE-134
CVE-2002-1831,CWE-177
CVE-2002-1839,CWE-223
CVE-2002-1841,CWE-434
CVE-2002-1844,CWE-276
CVE-2002-1848,CWE-317
CVE-2002-1850,CWE-833
CVE-2002-1850,CWE-667
CVE-2002-1852,CWE-79
CVE-2002-1863,CWE-420
CVE-2002-1869,CWE-412
CVE-2002-1869,CWE-667
CVE-2002-1872,CWE-326
CVE-2002-1873,CWE-400
CVE-2002-1874,CWE-20
CVE-2002-1876,CWE-400
CVE-2002-1876,CWE-799
CVE-2002-1877,CWE-264
CVE-2002-1880,CWE-472
CVE-2002-1886,CWE-433
CVE-2002-1898,CWE-78
CVE-2002-1906,CWE-239
CVE-2002-1910,CWE-326
CVE-2002-1912,CWE-476
CVE-2002-1913,CWE-36
CVE-2002-1913,CWE-37
CVE-2002-1914,CWE-412
CVE-2002-1914,CWE-667
CVE-2002-1915,CWE-412
CVE-2002-1915,CWE-667
CVE-2002-1946,CWE-326
CVE-2002-1949,CWE-319
CVE-2002-1949,CWE-311
CVE-2002-1958,CWE-79
CVE-2002-1965,CWE-83
CVE-2002-1975,CWE-326
CVE-2002-1976,CWE-439
CVE-2002-1977,CWE-449
CVE-2002-1978,CWE-264
CVE-2002-1978,CWE-436
CVE-2002-1979,CWE-20
CVE-2002-1979,CWE-436
CVE-2002-1981,CWE-267
CVE-2002-1981,CWE-269
CVE-2002-1986,CWE-41
CVE-2002-1986,CWE-42
CVE-2002-1987,CWE-23
CVE-2002-1987,CWE-29
CVE-2002-1987,CWE-30
CVE-2002-1991,CWE-94
CVE-2002-20001,CWE-400
CVE-2002-2017,CWE-427
CVE-2002-2019,CWE-94
CVE-2002-2031,CWE-206
CVE-2002-2040,CWE-427
